"date","country","country_pt","operator","aircraft","total_survivors","description","year","total_fatalities","id","continent"
"03/05/1959","Nicaragua","Nicarágua","TACA","Visconde Vickers 763",19,"Caiu logo após a decolagem, invertido em árvores. Falha do motor nº 1 na subida. A não retração do trem de pouso imediatamente após a aeronave atingir V2. Falha do motor nº 2 alguns segundos depois. A aeronave virou para a esquerda, perdeu altitude e colidiu com árvores. Causa da falha do motor desconhecida.","1959",15,1592,"América"
"03/12/1959","India","Índia","Indian Airlines","Douglas C-47A",7,"O avião de carga caiu durante uma tentativa do piloto de limpar terreno alto em condições de baixa visibilidade. Ele já havia descido a uma baixa altitude para determinar sua posição.","1959",5,1593,"Ásia"
"03/13/1959","Spain","Espanha","Aviaco","Bristol 170 Freighter 21E",18,"O avião tombou para a direita logo após deixar o solo e caiu no chão. Forte rajada de vento que inclinou a aeronave para a direita durante a abordagem final para pousar, fazendo com que ela se espatifasse no solo","1959",1,1594,"Europa"
"03/29/1959","India","Índia","Indian Airlines","Douglas DC-3",24,"Falha estrutural sustentada durante o vôo em meio a uma tempestade.","1959",24,1596,"Ásia"
"04/17/1959","Mexico","México","Tigres Voladores","Curtiss C-46F-1-CU",26,"Explodiu e pegou fogo perto da Bahia de Kino. Acredita-se que uma bomba explodiu a bordo.","1959",26,1598,"América"
"04/23/1959","Turkey","Peru","Fretamento Aéreo","Avro 688 Super Trader",12,"O avião cargueiro, voando por instrumentos, desviou para o norte de sua rota normal por causa de ventos fortes e colidiu com o Monte. Suphan. Os ventos estavam mais fortes do que o previsto. Um rumo preciso não pôde ser obtido em Mus e Van não foi verificado. Temperaturas abaixo do normal resultariam em uma leitura alta do altímetro indicada. Cálculos de voo e contatos com balizas não eram coordenados e controlados.","1959",12,1599,"Europa"
"04/29/1959","Spain","Espanha","Iberia Airlines","Douglas DC-3",28,"Caiu nas encostas leste da Sierra de Valdemeca depois de ser desviado devido ao mau tempo. Joaquin Blume, campeão europeu de ginástica da Espanha, morto. O tempo desfavorável tornou necessário desviar-se da rota planejada.","1959",28,1600,"Europa"
"05/02/1959","Spain","Espanha","Austria-Flugdienst","Douglas DC-3",5,"Dois minutos após reportar a 3.000 pés, a aeronave atingiu o pico Alfabia a 3.300 pés. Altitude insuficiente durante o vôo com potência de subida normal.","1959",5,1601,"Europa"
"05/13/1959","Peru","Peru","Transportes Aereos Peruanas","Curtiss C-46A",12,"Caiu em uma encosta durante o trajeto.","1959",12,1604,"América"
"05/21/1959","Peru","Peru","Lineas Aéreas Interpolar","Curtiss C-46A-50-CU",8,"Caiu em uma montanha durante o trajeto ..","1959",8,1606,"América"
"06/01/1959","Nicaragua","Nicarágua","Aerolineas Nacionales","Curtiss C-46",60,"O avião que transportava rebeldes nicaraguenses foi abatido por um caça da Força Aérea da Nicarágua.","1959",60,1607,"América"
"06/23/1959","Peru","Peru","AVIANCA","Douglas DC-4",14,"Caiu em uma montanha de Cerro Baco.","1959",14,1608,"América"
"08/03/1959","India","Índia","Kalinga Companhias Aéreas","Douglas DC-3",6,"Caiu durante o trajeto. Erro de navegação. O piloto entrou em um vale errado e estolou a aeronave totalmente carregada enquanto tentava voltar.","1959",6,1611,"Ásia"
"08/14/1959","Pakistan","Paquistão","Paquistão International Airlines","Visconde Vickers 815",3,"O capitão estagiário tentou uma manobra desconsiderando as limitações prescritas para tal manobra. Um overshoot bimotor foi tentado em uma altura muito baixa e abaixo da velocidade mínima prescrita, quando a aeronave foi comprometida para um pouso. Isso resultou em uma guinada violenta e uma queda acentuada que não pôde ser controlada. O capitão de treinamento estava familiarizado com os requisitos mínimos de um overshoot bimotor da aeronave Viscount 815, mas parece ter superestimado seu desempenho.","1959",2,1612,"Ásia"
"08/19/1959","Spain","Espanha","Transair","Douglas DC-3",32,"Dezenove minutos após a decolagem e durante a escalada, a aeronave entrou em uma nuvem e atingiu o Monte. Monseny. O piloto não seguiu os regulamentos prescritos.","1959",32,1614,"Europa"
"08/27/1959","Paraguay","Paraguai","Aerolineas Argentinas","Cometa 4 de Havilland DH-106",50,"A aeronave desceu abaixo do MDA e caiu 5 milhas antes da pista durante a aproximação para Assunção. Erro do piloto.","1959",2,1615,"América"
"09/08/1959","Mexico","México","Mexicana","Douglas DC-3",16,"Uma explosão durante o vôo ocorreu na cabine de passageiros. Um passageiro do sexo masculino, que se acreditava estar carregando uma bomba, caiu do avião de uma altitude de 11.000 pés. Um pouso forçado foi feito em Poza Rica após um incêndio na cabine.","1959",1,1617,"América"
"09/12/1959","Honduras","Honduras","Pan American World Airways","Douglas DC-4",3,"Logo após a decolagem, o avião de carga desviou de seu curso pretendido e bateu em uma montanha, por motivos desconhecidos.","1959",3,1618,"América"
"09/23/1959","Brazil","Brasil","VASP","Saab Scandia 90A-1",20,"Caiu poucos minutos após decolar do aeroporto de São Paulo. Causa indeterminada.","1959",20,1619,"América"
"09/24/1959","France","França","T.A. Intercontinentaux (França)","Douglas DC-7C",65,"Caiu logo após a decolagem, não ganhando altitude e colidindo com árvores. A tripulação não monitorou corretamente o altímetro.","1959",53,1620,"Europa"
"10/29/1959","Greece","Grécia","OlympiAirways","Douglas DC-3",18,"Falha do motor na decolagem. O avião caiu 5 minutos depois. Falha do rolamento do pino do gudgeon do pistão No.6 do motor esquerdo.","1959",18,1624,"Europa"
"11/16/1959","Ukraine","Ucrânia","Aeroflot","Antonov AN-10",40,"Caiu durante a abordagem.","1959",40,1628,"Europa"
"12/08/1959","Colombia","Colômbia","Sociedad Aeronautica Medellin","Curtiss C-46A",45,"Desapareceu no caminho. Trem de pouso certo encontrado na Ilha Moron. Causa indeterminada.","1959",45,1631,"América"
"12/13/1959","Uzbekistan","Uzbequistão","Aeroflot","Ilyushin IL-18",29,"Caiu em uma montanha durante o trajeto.","1959",29,1632,"Ásia"
"12/21/1959","Italy","Itália","Alitalia","Visconde Vickers 785D",2,"Caiu em um cabide durante uma aterrissagem prática. O acidente foi atribuído a uma manobra de pouso frustrado realizada abaixo dos limites de velocidade para o controle direcional seguro da aeronave durante uma situação crítica que se desenvolveu na última fase do pouso no curso de um exercício simulado de emergência com duas unidades de potência inoperantes.","1959",2,1634,"Europa"
"12/22/1959","Brazil","Brasil","VASP","Visconde Vickers 827 / Fokker AT-6",33,"Colisão aérea com um AT-6 Harvard da Força Aérea Brasileira, logo após a decolagem. Um morto no lutador. Falha de ambos os pilotos em se verem e evitarem um ao outro.","1959",0,1635,"América"
"12/24/1959","Indonesia","Indonésia","Garuda Indonesia Companhias Aéreas","Douglas C-47A",2,"Logo após a decolagem, o avião de carga perdeu o motor nº 2, tentou retornar ao aeroporto, mas caiu. Falha do motor certo, falta de precaução por parte do capitão e mau tempo. Um fator contribuinte pode ter sido a condição de sobrecarga da aeronave, no entanto, não a ponto de forçar a aeronave a descer a uma altitude perigosamente baixa.","1959",1,1636,"Ásia"
"01/03/1960","India","Índia","Indian Airlines","Douglas C-47A",9,"O avião de carga caiu enquanto deixava cair suprimentos e fazia uma curva estreita em um vale. O acidente foi atribuído a um erro de navegação que fez com que o piloto entrasse no vale errado. Durante uma tentativa de retorno em uma área restrita, a aeronave estolou e caiu.","1960",9,1638,"Ásia"
"01/19/1960","Turkey","Peru","Scandinavian Airlines (SAS)","Sud Aviation Caravelle 1",42,"Durante um vôo de Istambul para Ancara, Turquia, a aeronave caiu durante a aproximação do Aeroporto de Esenboga, 6 milhas náuticas antes da pista. A aeronave atingiu o solo a uma altitude de 3.500 pés, entre a cordilheira de Ancara e o aeroporto. Uma descida não intencional abaixo da altitude mínima de voo autorizada durante a aproximação final ao Aeroporto de Esenboga por razões que não puderam ser determinadas. A aeronave foi nomeada Orm Viking.","1960",42,1642,"Europa"
"01/26/1960","Australia","Austrália","Transportes Aéreos de Timor","de Havilland DH-114 Heron 2D",9,"O contato de rádio foi perdido com a aeronave antes que ela se espatifasse no oceano. Mau tempo. Piloto não qualificado.","1960",9,1645,"Oceânia"
"02/26/1960","Brazil","Brasil","REAL / Militar - Marinha dos EUA","Douglas DC-3 / USN R-6D-1",61,"Colisão aérea entre um DC-3 e um R-6D da Marinha dos EUA. Procedimentos de pilotagem inadequados ao voar em voo por instrumentos autorizado (piloto da Marinha dos EUA). O piloto do avião da USN desobedeceu às instruções transmitidas pelo Rio Approach Control. A Marinha dos Estados Unidos discordou e não culpou nenhum dos pilotos. Vinte e seis mortos no DC-3, 35 no R-6D-1. Membros da Marinha dos Estados Unidos entre os mortos.","1960",61,1647,"América"
"02/26/1960","Ireland","Irlanda","Alitalia","Douglas DC-7C",52,"Perdeu altitude logo após decolar e caiu. Causa desconhecida.","1960",34,1648,"Europa"
"02/26/1960","Ukraine","Ucrânia","Aeroflot","Antonov AN-10",32,"Caiu durante a abordagem.","1960",32,1649,"Europa"
"03/15/1960","Colombia","Colômbia","Agencia Interamericana de Aviada","PBY-5A Catalina consolidado",13,"Caiu no caminho.","1960",6,1650,"América"
"03/16/1960","Japan","Japão","Todas as Nippon Airways","Douglas DC-3",33,"Colisão no ar com um caça F-86 da Força de Autodefesa do Japão, que estava decolando de Nagoya. Ambos os aviões caíram, mas o piloto do F-86 foi ejetado com segurança.","1960",3,1651,"Ásia"
"03/19/1960","Colombia","Colômbia","SAMSA","Curtiss C-46",46,"Pouso forçado após falha do motor. O acidente foi atribuído a um erro de julgamento do piloto ao decidir pousar em um aeroporto que estava fechado e onde não havia rádio-auxílio disponível. Os fatores que contribuíram foram a velocidade excessiva intermitente das hélices, condições climáticas adversas e nenhuma torre de comunicação.","1960",25,1653,"América"
"04/05/1960","Nicaragua","Nicarágua","Lanica","Curtiss C-46A-40-CU",18,"Voou para uma colina logo após decolar. Falha do motor devido a uma rachadura por fadiga em uma válvula.","1960",2,1654,"América"
"04/12/1960","Brazil","Brasil","Cruzeiro","Douglas DC-3",22,"Durante a decolagem, o avião desviou para a direita, corrigiu para a esquerda e atingiu duas outras aeronaves. Erro do piloto. Uso incorreto dos freios e controles no solo.","1960",10,1655,"América"
"04/14/1960","Taiwan","Taiwan","Militar - Força Aérea Real Tailandesa","Douglas DC-4",18,"Atingiu uma montanha","1960",18,1656,"Ásia"
"04/19/1960","Colombia","Colômbia","Lloyd Aereo Colombiano","Curtiss C-46",51,"Caiu durante a abordagem final. O piloto falhou em tomar as medidas adequadas para neutralizar a perda de velocidade e altura na curva de aproximação final. Falta de experiência de piloto.","1960",37,1658,"América"
"09/07/1960","Uruguay","Uruguai","Aerolineas Argentinas","Douglas DC-6",31,"Caiu em uma tempestade. Separação da hélice seguida pela desintegração da aeronave. Excesso de velocidade da hélice No.3 causada por operação irregular do governador da hélice, destacamento dessa hélice e impacto com o do motor No.4, seguido pela desintegração da aeronave.","1960",31,1663,"América"
"05/18/1960","Argentina","Argentina","Transporte Aéreo Transamericano","Curtiss C-46",10,"Caiu devido a falha estrutural após voar em turbulência extremamente violenta. Preparação insuficiente para o voo pela tripulação. Arranjos inadequados para o transporte seguro do gado. Falha do piloto em se familiarizar com as condições climáticas prevalecentes. Não encontrado até 21/11/61.","1960",10,1664,"América"
"06/24/1960","Brazil","Brasil","REAL","Convair CV-340-62",54,"Colidiu com a Baía de Guanabara durante a abordagem. Causa indeterminada.","1960",54,1668,"América"
"07/11/1960","Ecuador","Equador","Militar - Força Aérea dos EUA","Douglas C-47B-DK",18,"Caiu e ardeu no Monte. Pichincha se preparava para pousar em Quito.","1960",18,1671,"América"
"07/15/1960","Ethiopia","Etiópia","Ethiopian Airlines","Douglas DC-3",11,"Caiu na encosta de uma montanha a 9.000 pés. O piloto avaliou mal as condições meteorológicas e continuou a voar em condições meteorológicas em deterioração enquanto tentava manter o VFR. O piloto tentou subir a uma velocidade abaixo da velocidade mínima de subida segura da aeronave.","1960",1,1673,"África"
"07/31/1960","Italy","Itália","Deutsche Flugdienst","Convair CV-240-4",34,"Enquanto descia a 5.000 pés, a tripulação perdeu o motor No.1. A 1.500 pés, o outro motor também foi perdido. A aeronave caiu 3.300 pés antes da pista. Falha de ambos os motores da aeronave.","1960",1,1676,"Europa"
"08/17/1960","Ukraine","Ucrânia","Aeroflot","Ilyushin IL-18",35,"Caiu após um incêndio durante o vôo a bordo da aeronave.","1960",35,1678,"Europa"
"08/17/1960","Morocco","Marrocos","Militar - Aviação Naval Francesa","Avro Lancaster 1",20,"Descartado durante a rota para Casablanca, após sofrer um incêndio no motor.","1960",20,1679,"África"
"08/24/1960","Greece","Grécia","Don Everall Aviation","Vickers 634 Viking 1B",3,"O avião de carga decolou, perdeu um motor, virou para a esquerda e caiu no oceano. A causa da falha do motor não foi estabelecida, mas a razão mais provável parece ser um combustível ou sistema de ignição com defeito. A razão pela qual não foi possível para a aeronave manter um vôo seguro após a falha do motor permanece desconhecida.","1960",3,1680,"Europa"
"08/29/1960","Senegal","Senegal","Ar francês","Lockheed 1049G Super Constellation",63,"A aeronave colidiu com o AtlantiOcean após uma tentativa de pouso malsucedida. Causa indeterminada. Possível falha estrutural ou perda de controle devido a turbulência, ilusão sensorial ou distração da tripulação de vôo que pode ter sido associada a um raio.","1960",63,1681,"África"
"09/19/1960","Guam","Guam","World Airways","Douglas DC-6AB",94,"A aeronave transportava militares e dependentes americanos. Menos de um minuto após a decolagem, a aeronave caiu no Monte. Barrigada explodindo em chamas com o impacto. As vítimas foram mais atribuíveis aos efeitos do fogo do que ao acidente. Falha do piloto em cumprir os procedimentos de partida publicados, iniciando uma curva à direita antes de atingir uma altitude de 1.000 pés.","1960",80,1682,"Oceânia"
"09/26/1960","Russia","Rússia","Austrian Airlines","Visconde 837 de Vickers",37,"Caiu ao se aproximar de Moscou, a 11 milhas náuticas da pista. Altímetro com defeito ou leitura incorreta.","1960",31,1684,"Ásia"
"09/28/1960","Mexico","México","Mexicana","Douglas DC-3 (C-53-DO)",18,"Caiu nas encostas de uma montanha em meio a uma névoa densa.","1960",8,1685,"América"
"09/29/1960","Italy","Itália","United Arab Airlines","Visconde Vickers 739B",21,"Caiu no Mar Tirreno ao largo de Elba após uma forte tempestade.","1960",21,1686,"Europa"
"10/14/1960","Italy","Itália","Itavia","de Havilland DH-114 Heron 2",11,"Hit Mt. Capanne enquanto a caminho. Causa desconhecida.","1960",11,1688,"Europa"
"10/21/1960","Russia","Rússia","Aeroflot","Tupolev Tu-104A",3,"Caiu após uma descida prematura.","1960",3,1690,"Ásia"
"11/05/1960","Nepal","Nepal","Royal Nepal Companhias Aéreas","Douglas C-47A",4,"Caiu na decolagem.","1960",4,1693,"Ásia"
"11/07/1960","Ecuador","Equador","ÁREA","Fairchild F-27A",37,"Caiu em uma montanha 20 milhas ao sul do aeroporto.","1960",37,1694,"América"
"12/07/1960","Brazil","Brasil","REAL","Curtiss C-46A-60-CK",15,"O motor No.2 falhou durante a rota. A aeronave perdeu altitude, caiu na selva e pegou fogo. O motor de estibordo falhou por motivos desconhecidos.","1960",15,1696,"América"
"12/11/1960","Argentina","Argentina","Militar - Força Aérea Argentina","Avro 691 Lancastrian IV",31,"O domestiflight ganhou dinheiro e queimou sob forte chuva a 160 quilômetros de seu destino. Erro do piloto. Voando VFR em condições climáticas adversas.","1960",31,1697,"América"
"04/03/1961","Chile","Chile","LAN","Douglas DC-3",24,"O avião colidiu com o morro La Gotera durante a aproximação de Santiago. A causa oficial é desconhecida. Suspeita de gelo. Todos os membros do time de futebol chileno da Cruz Verde morreram.","1961",24,1698,"América"
"05/10/1961","Algeria","Argélia","Ar francês","Lockheed 1649A Starliner",78,"Durante a rota de Fort Lamy, Chade, para Marselha, França, o avião caiu e pegou fogo no deserto do Saara, na fronteira entre a Argélia e a Líbia. Detonação de uma bomba de nitrocelulose.","1961",78,1699,"África"
"01/03/1961","Finland","Finlândia","Finnair","Douglas DC-3",25,"Caiu na floresta ao tentar pousar. Ambos os pilotos testaram positivo para álcool. Além disso, o piloto não dormiu o suficiente na noite anterior e não foi considerado em condições físicas e mentais satisfatórias para realizar o vôo.","1961",25,1705,"Europa"
"01/24/1961","Indonesia","Indonésia","Garuda Indonesia Companhias Aéreas","Douglas DC-3",21,"A aeronave atingiu o Monte. Burangrang. Tentativa do piloto de voar sobre terreno montanhoso quando não tiver certeza de sua posição e em condições meteorológicas que restringem severamente a visibilidade.","1961",21,1708,"Ásia"
"02/03/1961","Indonesia","Indonésia","Garuda Indonesia Companhias Aéreas","Douglas DC-3",26,"Desapareceu durante o trajeto. Os destroços nunca foram encontrados. Acredita-se que a aeronave caiu no mar ao largo da ilha de Madura.","1961",26,1711,"Ásia"
"02/15/1961","Belgium","Bélgica","Sabena","Boeing B-707-320",72,"A aeronave estava prestes a tocar na pista quando a potência do motor foi aumentada e a aeronave subiu para 1.500 pés. A aeronave completou 3 círculos à esquerda. Sua atitude aumentou até que ele abaixou o nariz e caiu. Todos os dezoito membros da equipe de patinação artística dos EUA foram mortos. Falha nos controles de vôo da aeronave, possivelmente emperramento dos ailerons externos ou extensão indesejada dos spoilers.","1961",0,1712,"Europa"
"03/25/1961","Brazil","Brasil","Militar - Força Aérea Brasileira","Douglas C-47DL",28,"Caiu ao tentar pousar.","1961",23,1714,"América"
"05/29/1961","Singapore","Cingapura","Militar - Força Aérea Real","Handley Page Hastings C-2",13,"Perdeu um motor, afogou e caiu.","1961",13,1716,"Ásia"
"05/30/1961","Portugal","Portugal","KLM Royal Dutch Airlines","McDonnell Douglas DC-8-53",61,"Cinco minutos após decolar de Lisboa, Portugal, a aeronave mergulhou no AtlantiOcean. Houve indicações nos destroços de que a aeronave entrou em um mergulho em espiral e atingiu a água a mais de 500 mph. Por falta de atenção ou perda de um horizonte artificial ou mau funcionamento de outro instrumento, a aeronave entrou em uma margem esquerda íngreme da qual a recuperação não foi possível. Atitude da aeronave no momento do impacto apontada para correção excessiva.","1961",61,1717,"Europa"
"06/12/1961","Egypt","Egito","KLM Royal Dutch Airlines","Lockheed L-188C Electra",36,"Colidiu com linhas de força durante a abordagem, a 4 km da pista. Negligência da tripulação com os deveres da cabine.","1961",20,1718,"África"
"06/17/1961","Nigeria","Nigéria","Continentale Deutsche Luftreederei","Douglas C-54B-1-DC",7,"Erro de julgamento por parte do comandante que, após avistar as luzes da pista, concentrou-se em mantê-las à vista e não fez referência adequada aos seus instrumentos de vôo. Como resultado, ele permitiu que a aeronave descesse abaixo do limite de obstáculos de 360 pés. Na escuridão, sem referência ao solo, as luzes da pista não lhe davam orientação suficiente quanto à altura e ângulo de abordagem e ele não sabia que a aeronave havia descido ao nível do solo. O cansaço do comandante e a falta de iluminação das luzes de pouso da aeronave foram fatores contribuintes.","1961",1,1719,"África"
"06/30/1961","Argentina","Argentina","Transcontinental","Curtiss C-46A",35,"Bateu em árvores e postes telegráficos na abordagem final. O piloto falhou em seguir os procedimentos de abordagem por instrumentos durante a abordagem.","1961",24,1720,"América"
"07/10/1961","Ukraine","Ucrânia","Aeroflot","Tupolev TU-104B",85,"Acenda as luzes de aproximação ao tentar pousar sob chuva forte.","1961",1,1721,"Europa"
"07/12/1961","Morocco","Marrocos","Ceskoslovenske Aerolinie","Ilyushin IL-18B",72,"Ao chegar a Rabat, o avião foi desviado para Casablanca devido à pouca visibilidade do solo. As condições em Casablanca eram um pouco melhores, mas o avião ultrapassou a pista em sua primeira aproximação. Com o agravamento das condições, o piloto pediu para pousar na base da Força Aérea dos EUA em Nouasseur. Enquanto a torre buscava permissão, o piloto viu uma janela de oportunidade e tentou pousar novamente em Casablanca. A aeronave colidiu com uma encosta e queimou a 13 quilômetros da pista.","1961",72,1723,"África"
"07/19/1961","Argentina","Argentina","Aerolineas Argentinas","Douglas DC-6",67,"A aeronave se desintegrou em vôo após a aplicação de cargas superiores às cargas de projeto. A aeronave entrou em uma área de extrema turbulência e foi atingida por um raio.","1961",67,1724,"América"
"08/06/1961","Hungary","Hungria","Malev Hungarian Airlines","Douglas DC-3",27,"A aeronave caiu entre uma fileira de casas durante um voo turístico. Desatenção da tripulação aos deveres. Os pilotos tiveram 2 companheiros na cabine durante todo o vôo e realizaram manobras proibidas, incluindo uma curva fechada que resultou na perda de controle da aeronave.","1961",0,1726,"Europa"
"08/09/1961","Norway","Noruega","Cunard Eagle Airways","Vickers Viking 3B",39,"Caiu em uma montanha 18 nm a nordeste do Aeroporto Stravanger. Desvio do curso prescrito. Causa desconhecida.","1961",39,1727,"Europa"
"08/29/1961","Greenland","Groenlândia","Eastern Provincial Airways","de Havilland Canada DHC-3 Otter",6,"Um incêndio durante o vôo, iniciado e sustentado por um grave vazamento de combustível. O vazamento de combustível foi causado pelo bloqueio de um bujão de drenagem do carburador para desparafusar.","1961",1,1729,"América"
"09/05/1961","Ethiopia","Etiópia","Ethiopian Airlines","Douglas DC-3",19,"Hélice com defeito. O piloto tentou voltar para um pouso de emergência, mas caiu.","1961",5,1731,"África"
"09/06/1961","Costa Rica","Costa Rica","Lineas Aéreas Costarricenses","Douglas DC-3",2,"Avião de carga caiu.","1961",2,1732,"América"
"09/10/1961","Ireland","Irlanda","President Airlines","Douglas DC-6B",83,"A aeronave caiu no rio Shannon logo após decolar no nevoeiro. Possível falha no horizonte artificial ou nas guias do aileron da aeronave. O fator contribuinte foi o clima e o cansaço da tripulação.","1961",83,1734,"Europa"
"09/17/1961","Zambia","Zâmbia","Organização das Nações Unidas","Douglas DC-6B",16,"A aeronave caiu na selva a aproximadamente 9 milhas do aeroporto de destino. Secretário-geral da ONU, Dag Hammarskjöld, 56, morto. A aeronave foi permitida a descer muito baixo, resultando em árvores colidindo e caindo. Embora as Nações Unidas tenham divulgado um comunicado de que nenhuma evidência de sabotagem foi encontrada, persistem rumores sobre o acidente, alegando que as vítimas foram baleadas antes do acidente ou que uma bomba explodiu a bordo.","1961",16,1736,"África"
"09/23/1961","Turkey","Peru","Turkish Airlines (THY)","Fokker F-27 Friendship 100",29,"Batida em terreno alto ao se aproximar, a 18 kms do aeroporto de Ancara. A aeronave não estava em um padrão de vôo normal e abaixo da altitude normal.","1961",28,1738,"Europa"
"10/07/1961","France","França","Derby Aviation","Douglas DC-3",34,"Caiu no Monte. Canigou enquanto desce para a terra. Erro de navegação.","1961",34,1739,"Europa"
"10/10/1961","Libya","Líbia","Militar - Força Aérea Real","Handley Page Hastings C-2",37,"O avião estagnou e caiu durante a decolagem.","1961",17,1740,"África"
"11/01/1961","Guernsey","Guernsey","Bristol 170 Freighter 31M","Silver City Airways",10,"Falha ao ganhar altitude após uma aproximação falhada e caiu. O mau funcionamento da unidade de engrossamento automatipitch da hélice de estibordo. Isso privou o comandante do grau necessário de controle da aeronave em um estágio crítico do vôo.","1961",2,1741,"Europa"
"11/01/1961","Brazil","Brasil","Panair do brasil","Douglas DC-7C",45,"O vôo colidiu com uma colina durante a abordagem. Erro do piloto. Avaliação inadequada da distância, voando em um padrão de tráfego não padrão à noite e deixando de observar os mínimos de altitude durante a aproximação final.","1961",45,1742,"América"
"11/23/1961","Brazil","Brasil","Aerolineas Argentinas","de Havilland Comet 4",52,"Após atingir uma altitude de cerca de 100 m, a aeronave perdeu altitude, colidiu com uma floresta de eucaliptos e foi destruída. Erro do piloto. Falha ao operar sob IFR em condições climáticas adversas à noite. Falha em seguir o procedimento de escalada.","1961",52,1745,"América"
"12/04/1961","Germany","Alemanha","Lufthansa","Boeing 720-030B",3,"Caiu em um campo aberto em um mergulho íngreme após tentar um pouso de emergência.","1961",3,1748,"Europa"
"12/12/1961","Belgium","Bélgica","Militar - Força Aérea Belga","Fairchild C-119G / Fairchild C-119",13,"Colisão aérea entre dois C-119s.","1961",0,1749,"Europa"
"12/15/1961","Nicaragua","Nicarágua","Lanica","Curtiss C-46",2,"O avião de carga lucrou enquanto tentava pousar. Mudança de carga.","1961",2,1750,"América"
"12/21/1961","Turkey","Peru","British European Airways","de Havilland Comet 4B",34,"Pouco depois de decolar do Aeroporto de Esenboga, a aeronave assumiu um ângulo de subida excessivamente íngreme, estolou e caiu. A causa provável do acidente foi a obstrução do ponteiro de pitch no horizonte diretor do capitão, o que o levou a fazer uma subida excessivamente íngreme. Um dos três parafusos se soltou e impediu o ponteiro do mostrador de indicar a altura correta.","1961",27,1751,"Europa"
"02/04/1962","Peru","Peru","Faucett","Douglas DC-3",18,"Ao voar no FL 150, o piloto comunicou pelo rádio que estava voltando para Huanuco por causa do mau tempo. Logo depois, o avião foi visto em uma espiral em direção ao solo e testemunhas ouviram os motores acelerar antes que a aeronave atingisse uma colina. Separação do elevador esquerdo em vôo.","1962",18,1755,"América"
"02/25/1962","Colombia","Colômbia","Avianca","Douglas C-47A",2,"Depois de decolar, a tripulação do avião de carga declarou situação de emergência e caiu pouco depois. O procedimento falho por parte do piloto que fez a rota escalar de Manizales a San Felix em baixa altitude, de modo que a aeronave ficou presa em um canyon e caiu na passagem de San Felix em La Aguadita após estolar durante uma curva em 9.000 pés","1962",2,1757,"América"
"03/04/1962","Cameroon","Camarões","Caledonian Airways","Douglas DC-7C",111,"A aeronave teve uma corrida de decolagem incomumente longa e pareceu ganhar altitude com dificuldade. A uma milha e meia da pista, a aeronave atingiu árvores e caiu em um pântano de maré e explodiu em chamas. Uma guia da mola direita do elevador emperrada fez com que a tripulação perdesse o controle da aeronave.","1962",111,1759,"África"
"03/06/1962","South Africa","África do Sul","South African Airways","Douglas DC-3",7,"Caiu em uma montanha. Erro de julgamento do piloto em comando que tentou um vôo visual baixo, abaixo da base de nuvem, perto de montanhas, em condições meteorológicas adversas.","1962",2,1760,"África"
"03/08/1962","Turkey","Peru","Turkish Airlines (THY)","Fairchild F-27",11,"Caiu em uma montanha a uma altitude de 6.800 pés durante o trajeto em mau tempo. Ao evitar cúmulos e condições turbulentas, o piloto não foi capaz de manter o controle de sua posição exata ou manter a altitude exata.","1962",11,1761,"Europa"
"03/08/1962","Italy","Itália","Societa Aerea Mediterranea","Douglas DC-6B",5,"O avião de carga caiu no Monte. Velino enquanto está a caminho.","1962",5,1762,"Europa"
"03/08/1962","France","França","Militar - Força Aérea dos EUA","Lockheed C-130A Hercules",15,"O transporte estava participando de uma missão de lançamento de paraquedas com outras cinco aeronaves quando caiu.","1962",15,1763,"Europa"
"03/27/1962","Cuba","Cuba","Cubana de Aviacion","Ilyushin IL-14",22,"Caiu logo após a decolagem para o mar a 1 milha da costa e afundou. O tempo estava bom.","1962",22,1767,"América"
"04/06/1962","Colombia","Colômbia","Militar - Força Aérea Colombiana","Douglas C-47",31,"Devido aos ventos, a aeronave estava 10 graus fora do curso ao se preparar para pousar em Villavicencio e colidir com uma montanha de 11.500 pés.","1962",31,1768,"América"
"04/22/1962","Colombia","Colômbia","AVISPA","Douglas C-47A-1",40,"Nada foi ouvido da aeronave após a saída da Bahia Solano. Os destroços foram encontrados 4 dias depois, a 31 milhas do aeroporto no Pico Bonito a uma altitude de 2.400 pés.","1962",40,1769,"América"
"10/12/1962","Spain","Espanha","Iberia Airlines","Convair CV-440 -62",18,"Caiu na montanha ao tentar pousar.","1962",18,1770,"Europa"
"05/09/1962","Brazil","Brasil","Cruzeiro","Convair CV-240-0",25,"Bateu nas árvores perto da pista durante a abordagem. Aproximação não realizada de acordo com os procedimentos da empresa e erro de avaliação da distância da pista.","1962",23,1773,"América"
"05/12/1962","Greenland","Groenlândia","East Provincial Airways","Catalina Consolidada",21,"Ao pousar na água, o avião desviou abruptamente para a direita e afundou em um curto período de tempo. Devido a um mau funcionamento, as portas da roda do nariz não foram fechadas e trancadas. As portas foram arrancadas no pouso, permitindo que a água entrasse no poço da roda, causando sérios danos à aeronave.","1962",15,1774,"América"
"05/15/1962","Egypt","Egito","United Arab Airlines","Douglas DC-3",3,"O avião de carga caiu logo após decolar.","1962",3,1775,"África"
"05/17/1962","Kenya","Quênia","Militar - Força Aérea dos EUA","Lockheed C-130A Hercules",13,"Atingiu uma montanha em condições de mau tempo.","1962",13,1776,"África"
